2025-06-28T19:53:27.429453 | COM3PKBDS088614999361 7.24X | COM3PKBDS088614999361 7.24X
2025-06-28T19:53:27.429606 | COMBDS 088614999352 1.24% | COMBDS 088614999352 1.24%
2025-06-28T19:53:27.429751 | DRSMITHS 030178033003 T.97N | DRSMITHS 030178033003 T.97N
2025-06-28T19:53:27.429855 | COM2PKHAIR007163412962 4.97% | COM2PKHAIR007163412962 4.97%
2025-06-28T19:53:27.429947 | BABYWIPES003700087095 1.97X | BABYWIPES003700087095 1.97X
2025-06-28T19:53:27.430070 | COM4PKSOCK007153413049 4.97% | COM4PKSOCK007153413049 4.97%
2025-06-28T19:53:27.430185 | COM4PKSOCK007153413048 4.97% | COM4PKSOCK007153413048 4.97%
2025-06-28T19:53:27.430239 | s 1POPUG073004721376373 2.00X | s 1POPUG073004721376373 2.00X
2025-06-28T19:53:27.430343 | 7 RS 003700086358 24.94X | 7 RS 003700086358 24.94X
2025-06-28T19:53:27.430406 | BRNMSANML004400000379F 1.48N | BRNMSANML004400000379F 1.48N
2025-06-28T19:53:27.430443 | PATROL077898806441 6.97X | PATROL077898806441 6.97X
2025-06-28T19:55:44.599603 | COM3PCSET088851018239 9.44x | COM3PCSET088851018239 9.44x
2025-06-28T19:55:44.599910 | COM3PKBDS088614999361 7.24X | COM3PKBDS088614999361 7.24X
2025-06-28T19:55:44.599981 | COMBDS 088614999352 1.24% | COMBDS 088614999352 1.24%
2025-06-28T19:55:44.600046 | DRSMITHS 030178033003 T.97N | DRSMITHS 030178033003 T.97N
2025-06-28T19:55:44.600107 | COM2PKHAIR007163412962 4.97% | COM2PKHAIR007163412962 4.97%
2025-06-28T19:55:44.600166 | BABYWIPES003700087095 1.97X | BABYWIPES003700087095 1.97X
2025-06-28T19:55:44.600224 | COM4PKSOCK007153413049 4.97% | COM4PKSOCK007153413049 4.97%
2025-06-28T19:55:44.600291 | COM4PKSOCK007153413048 4.97% | COM4PKSOCK007153413048 4.97%
2025-06-28T19:55:44.600349 | s 1POPUG073004721376373 2.00X | s 1POPUG073004721376373 2.00X
2025-06-28T19:55:44.600406 | 7 RS 003700086358 24.94X | 7 RS 003700086358 24.94X
2025-06-28T19:55:44.600461 | BRNMSANML004400000379F 1.48N | BRNMSANML004400000379F 1.48N
2025-06-28T19:55:44.600516 | PATROL077898806441 6.97X | PATROL077898806441 6.97X
2025-06-28T19:55:44.600575 | COM3PCSET088851018239 9.44x | COM3PCSET088851018239 9.44x
2025-06-28T19:55:44.601651 | COM3PKBDS088614999361 7.24X | COM3PKBDS088614999361 7.24X
2025-06-28T19:55:44.601759 | COMBDS 088614999352 1.24% | COMBDS 088614999352 1.24%
2025-06-28T19:55:44.601830 | DRSMITHS 030178033003 T.97N | DRSMITHS 030178033003 T.97N
2025-06-28T19:55:44.601894 | COM2PKHAIR007163412962 4.97% | COM2PKHAIR007163412962 4.97%
2025-06-28T19:55:44.601956 | BABYWIPES003700087095 1.97X | BABYWIPES003700087095 1.97X
2025-06-28T19:55:44.602015 | COM4PKSOCK007153413049 4.97% | COM4PKSOCK007153413049 4.97%
2025-06-28T19:55:44.602114 | COM4PKSOCK007153413048 4.97% | COM4PKSOCK007153413048 4.97%
2025-06-28T19:55:44.602175 | s 1POPUG073004721376373 2.00X | s 1POPUG073004721376373 2.00X
2025-06-28T19:55:44.602233 | 7 RS 003700086358 24.94X | 7 RS 003700086358 24.94X
2025-06-28T19:55:44.602290 | BRNMSANML004400000379F 1.48N | BRNMSANML004400000379F 1.48N
2025-06-28T19:55:44.602414 | PATROL077898806441 6.97X | PATROL077898806441 6.97X
2025-06-28T20:06:47.611006 | COM3PCSET088851018239 9.44x | COM3PCSET088851018239 9.44x
2025-06-28T20:06:47.611234 | COM3PKBDS088614999361 7.24X | COM3PKBDS088614999361 7.24X
2025-06-28T20:06:47.611306 | COMBDS 088614999352 1.24% | COMBDS 088614999352 1.24%
2025-06-28T20:06:47.611350 | DRSMITHS 030178033003 T.97N | DRSMITHS 030178033003 T.97N
2025-06-28T20:06:47.611397 | COM2PKHAIR007163412962 4.97% | COM2PKHAIR007163412962 4.97%
2025-06-28T20:06:47.611443 | BABYWIPES003700087095 1.97X | BABYWIPES003700087095 1.97X
2025-06-28T20:06:47.611486 | COM4PKSOCK007153413049 4.97% | COM4PKSOCK007153413049 4.97%
2025-06-28T20:06:47.611527 | COM4PKSOCK007153413048 4.97% | COM4PKSOCK007153413048 4.97%
2025-06-28T20:06:47.611565 | s 1POPUG073004721376373 2.00X | s 1POPUG073004721376373 2.00X
2025-06-28T20:06:47.611611 | 7 RS 003700086358 24.94X | 7 RS 003700086358 24.94X
2025-06-28T20:06:47.611653 | BRNMSANML004400000379F 1.48N | BRNMSANML004400000379F 1.48N
2025-06-28T20:06:47.611692 | PATROL077898806441 6.97X | PATROL077898806441 6.97X
2025-06-28T20:06:47.611730 | COM3PCSET088851018239 9.44x | COM3PCSET088851018239 9.44x
2025-06-28T20:06:47.611787 | COM3PKBDS088614999361 7.24X | COM3PKBDS088614999361 7.24X
2025-06-28T20:06:47.611819 | COMBDS 088614999352 1.24% | COMBDS 088614999352 1.24%
2025-06-28T20:06:47.611857 | DRSMITHS 030178033003 T.97N | DRSMITHS 030178033003 T.97N
2025-06-28T20:06:47.611893 | COM2PKHAIR007163412962 4.97% | COM2PKHAIR007163412962 4.97%
2025-06-28T20:06:47.611930 | BABYWIPES003700087095 1.97X | BABYWIPES003700087095 1.97X
2025-06-28T20:06:47.611959 | COM4PKSOCK007153413049 4.97% | COM4PKSOCK007153413049 4.97%
2025-06-28T20:06:47.611995 | COM4PKSOCK007153413048 4.97% | COM4PKSOCK007153413048 4.97%
2025-06-28T20:06:47.612030 | s 1POPUG073004721376373 2.00X | s 1POPUG073004721376373 2.00X
2025-06-28T20:06:47.612058 | 7 RS 003700086358 24.94X | 7 RS 003700086358 24.94X
2025-06-28T20:06:47.612092 | BRNMSANML004400000379F 1.48N | BRNMSANML004400000379F 1.48N
2025-06-28T20:06:47.612127 | PATROL077898806441 6.97X | PATROL077898806441 6.97X
2025-06-28T20:23:23.465231 | COM3PCSET088851018239 9.44x | COM3PCSET088851018239 9.44x
2025-06-28T20:23:23.465670 | COM3PKBDS088614999361 7.24X | COM3PKBDS088614999361 7.24X
2025-06-28T20:23:23.465795 | COMBDS 088614999352 1.24% | COMBDS 088614999352 1.24%
2025-06-28T20:23:23.465912 | DRSMITHS 030178033003 T.97N | DRSMITHS 030178033003 T.97N
2025-06-28T20:23:23.466349 | COM2PKHAIR007163412962 4.97% | COM2PKHAIR007163412962 4.97%
2025-06-28T20:23:23.466796 | BABYWIPES003700087095 1.97X | BABYWIPES003700087095 1.97X
2025-06-28T20:23:23.466897 | COM4PKSOCK007153413049 4.97% | COM4PKSOCK007153413049 4.97%
2025-06-28T20:23:23.466989 | COM4PKSOCK007153413048 4.97% | COM4PKSOCK007153413048 4.97%
2025-06-28T20:23:23.467091 | s 1POPUG073004721376373 2.00X | s 1POPUG073004721376373 2.00X
2025-06-28T20:23:23.467190 | 7 RS 003700086358 24.94X | 7 RS 003700086358 24.94X
2025-06-28T20:23:23.467284 | BRNMSANML004400000379F 1.48N | BRNMSANML004400000379F 1.48N
2025-06-28T20:23:23.467376 | PATROL077898806441 6.97X | PATROL077898806441 6.97X
2025-06-28T20:23:23.467471 | COM3PCSET088851018239 9.44x | COM3PCSET088851018239 9.44x
2025-06-28T20:23:23.467564 | COM3PKBDS088614999361 7.24X | COM3PKBDS088614999361 7.24X
2025-06-28T20:23:23.467669 | COMBDS 088614999352 1.24% | COMBDS 088614999352 1.24%
2025-06-28T20:23:23.467864 | DRSMITHS 030178033003 T.97N | DRSMITHS 030178033003 T.97N
2025-06-28T20:23:23.468000 | COM2PKHAIR007163412962 4.97% | COM2PKHAIR007163412962 4.97%
2025-06-28T20:23:23.472208 | BABYWIPES003700087095 1.97X | BABYWIPES003700087095 1.97X
2025-06-28T20:23:23.472656 | COM4PKSOCK007153413049 4.97% | COM4PKSOCK007153413049 4.97%
2025-06-28T20:23:23.472754 | COM4PKSOCK007153413048 4.97% | COM4PKSOCK007153413048 4.97%
2025-06-28T20:23:23.472831 | s 1POPUG073004721376373 2.00X | s 1POPUG073004721376373 2.00X
2025-06-28T20:23:23.472905 | 7 RS 003700086358 24.94X | 7 RS 003700086358 24.94X
2025-06-28T20:23:23.473044 | BRNMSANML004400000379F 1.48N | BRNMSANML004400000379F 1.48N
2025-06-28T20:23:23.473118 | PATROL077898806441 6.97X | PATROL077898806441 6.97X
2025-06-28T20:24:15.072767 | COM3PCSET088851018239 9.44x | COM3PCSET088851018239 9.44x
2025-06-28T20:24:15.073042 | COM3PKBDS088614999361 7.24X | COM3PKBDS088614999361 7.24X
2025-06-28T20:24:15.073096 | COMBDS 088614999352 1.24% | COMBDS 088614999352 1.24%
2025-06-28T20:24:15.073139 | DRSMITHS 030178033003 T.97N | DRSMITHS 030178033003 T.97N
2025-06-28T20:24:15.073179 | COM2PKHAIR007163412962 4.97% | COM2PKHAIR007163412962 4.97%
2025-06-28T20:24:15.073219 | BABYWIPES003700087095 1.97X | BABYWIPES003700087095 1.97X
2025-06-28T20:24:15.073260 | COM4PKSOCK007153413049 4.97% | COM4PKSOCK007153413049 4.97%
2025-06-28T20:24:15.073300 | COM4PKSOCK007153413048 4.97% | COM4PKSOCK007153413048 4.97%
2025-06-28T20:24:15.073337 | s 1POPUG073004721376373 2.00X | s 1POPUG073004721376373 2.00X
2025-06-28T20:24:15.073375 | 7 RS 003700086358 24.94X | 7 RS 003700086358 24.94X
2025-06-28T20:24:15.073411 | BRNMSANML004400000379F 1.48N | BRNMSANML004400000379F 1.48N
2025-06-28T20:24:15.073447 | PATROL077898806441 6.97X | PATROL077898806441 6.97X
2025-06-28T20:24:15.073484 | COM3PCSET088851018239 9.44x | COM3PCSET088851018239 9.44x
2025-06-28T20:24:15.073535 | COM3PKBDS088614999361 7.24X | COM3PKBDS088614999361 7.24X
2025-06-28T20:24:15.073574 | COMBDS 088614999352 1.24% | COMBDS 088614999352 1.24%
2025-06-28T20:24:15.073617 | DRSMITHS 030178033003 T.97N | DRSMITHS 030178033003 T.97N
2025-06-28T20:24:15.073653 | COM2PKHAIR007163412962 4.97% | COM2PKHAIR007163412962 4.97%
2025-06-28T20:24:15.073689 | BABYWIPES003700087095 1.97X | BABYWIPES003700087095 1.97X
2025-06-28T20:24:15.073724 | COM4PKSOCK007153413049 4.97% | COM4PKSOCK007153413049 4.97%
2025-06-28T20:24:15.073759 | COM4PKSOCK007153413048 4.97% | COM4PKSOCK007153413048 4.97%
2025-06-28T20:24:15.073794 | s 1POPUG073004721376373 2.00X | s 1POPUG073004721376373 2.00X
2025-06-28T20:24:15.073829 | 7 RS 003700086358 24.94X | 7 RS 003700086358 24.94X
2025-06-28T20:24:15.073863 | BRNMSANML004400000379F 1.48N | BRNMSANML004400000379F 1.48N
2025-06-28T20:24:15.073904 | PATROL077898806441 6.97X | PATROL077898806441 6.97X
2025-06-28T20:27:37.114287 | COM3PCSET088851018239 9.44x | COM3PCSET088851018239 9.44x
2025-06-28T20:27:37.114730 | COM3PKBDS088614999361 7.24X | COM3PKBDS088614999361 7.24X
